date,value
2019-10-03,3570
2019-10-04,4456
2019-10-05,4826
2019-10-06,4765
2019-10-07,4985
2019-10-08,5409
2019-10-09,5511
2019-10-10,5117
2019-10-11,4563
2019-10-12,2416
2019-10-13,2913
2019-10-14,3644
2019-10-15,5217
2019-10-16,5041
2019-10-17,4570
2019-10-18,4748
2019-10-19,2424
2019-10-20,4195
2019-10-21,4304
2019-10-22,4308
2019-10-23,4381
2019-10-24,4187
2019-10-25,4687
2019-10-26,3894
2019-10-27,2659
2019-10-28,3747
2019-10-29,627
2019-10-30,3331
2019-10-31,3669
2019-11-01,4068
2019-11-02,4186
2019-11-03,3974
2019-11-04,4046
2019-11-05,3926
2019-11-06,3649
2019-11-07,4035
2019-11-08,4205
2019-11-09,4109
2019-11-10,2933
2019-11-11,3368
2019-11-12,4067
2019-11-13,3717
2019-11-14,4486
2019-11-15,4195
2019-11-16,1817
2019-11-17,3053
2019-11-18,3392
2019-11-19,3663
2019-11-20,3520
2019-11-21,2765
2019-11-22,1607
2019-11-23,2566
2019-11-24,1495
2019-11-25,2792
2019-11-26,3068
2019-11-27,3071
2019-11-28,3867
2019-11-29,2914
2019-11-30,3613
2019-12-01,3727
2019-12-02,3940
2019-12-03,3614
2019-12-04,3485
2019-12-05,3811
2019-12-06,2594
2019-12-07,705
2019-12-08,3322
2019-12-09,3620
2019-12-10,3190
2019-12-11,2743
2019-12-12,3310
2019-12-13,3523
2019-12-14,3740
2019-12-15,3709
2019-12-16,3577
2019-12-17,2739
2019-12-18,2431
2019-12-19,3403
2019-12-20,3750
2019-12-21,2660
2019-12-22,3068
2019-12-23,2209
2019-12-24,1011
2019-12-25,754
2019-12-26,1317
2019-12-27,1162
2019-12-28,2302
2019-12-29,2423
2019-12-30,2999
2019-12-31,2485
2020-01-01,2294
2020-01-02,1951
2020-01-03,2236
2020-01-04,2368
2020-01-05,3272
2020-01-06,4098
2020-01-07,4521
2020-01-08,3425
2020-01-09,2376
2020-01-10,3598
2020-01-11,2177
2020-01-12,4097
2020-01-13,3214
2020-01-14,2493
2020-01-15,2311
2020-01-16,2298
2020-01-17,2935
2020-01-18,3376
2020-01-19,3292
2020-01-20,3163
2020-01-21,1301
2020-01-22,1977
2020-01-23,2432
2020-01-24,4339
2020-01-25,4270
2020-01-26,4075
2020-01-27,3456
2020-01-28,4023
2020-01-29,3243
2020-01-30,3624
2020-01-31,4509
2020-02-01,4579
2020-02-02,3761
2020-02-03,4151
2020-02-04,2832
2020-02-05,2947
2020-02-06,3784
2020-02-07,4375
2020-02-08,2802
2020-02-09,3830
2020-02-10,3831
2020-02-11,2169
2020-02-12,1529
2020-02-13,3422
2020-02-14,3922
2020-02-15,4169
2020-02-16,3005
2020-02-17,4154
2020-02-18,4318
2020-02-19,2689
2020-02-20,3129
2020-02-21,3777
2020-02-22,4773
2020-02-23,5062
2020-02-24,3487
2020-02-25,2732
2020-02-26,3389
2020-02-27,4322
2020-02-28,4363
2020-02-29,1834
2020-03-01,4990
2020-03-02,3194
2020-03-03,4066
2020-03-04,3423
2020-03-05,3333
2020-03-06,3956
2020-03-07,4916
2020-03-08,5382
2020-03-09,4569
2020-03-10,4118
2020-03-11,4911
2020-03-12,5298
2020-03-13,5847
2020-03-14,6312
2020-03-15,6192
2020-03-16,4378
2020-03-17,7836
2020-03-18,5892
2020-03-19,6153
2020-03-20,6093
2020-03-21,6230
2020-03-22,6871
2020-03-23,8362
2020-03-24,3372
2020-03-25,4996
2020-03-26,5558
2020-03-27,5102
2020-03-28,5698
2020-03-29,6133
2020-03-30,5459
2020-03-31,6235
2020-04-01,6041
2020-04-02,5936
2020-04-03,6772
2020-04-04,6436
2020-04-05,6457
2020-04-06,6460
2020-04-07,6857
2020-04-08,5169
2020-04-09,5585
2020-04-10,5918
2020-04-11,4862
2020-04-12,5409
2020-04-13,6398
2020-04-14,7460
2020-04-15,7132
2020-04-16,6370
2020-04-17,6691
2020-04-18,4367
2020-04-19,6565
2020-04-20,7290
2020-04-21,6624
2020-04-22,1027
2020-04-23,3214
2020-04-24,5633
2020-04-25,6196
2020-04-26,5026
2020-04-27,6233
2020-04-28,4220
2020-04-29,6304
2020-04-30,5572
2020-05-01,5740
2020-05-02,6169
2020-05-03,6421
2020-05-04,6296
2020-05-05,6883
2020-05-06,6359
2020-05-07,6273
2020-05-08,5728
2020-05-09,4717
2020-05-10,6572
2020-05-11,7030
2020-05-12,7429
2020-05-13,6118
2020-05-14,2843
2020-05-15,5115
2020-05-16,7424
2020-05-17,7384
2020-05-18,7639
2020-05-19,8294
2020-05-20,7129
2020-05-21,4359
2020-05-22,6073
2020-05-23,5260
2020-05-24,6770
2020-05-25,6734
2020-05-26,6536
2020-05-27,6591
2020-05-28,6043
2020-05-29,5743
2020-05-30,6855
2020-05-31,7338
2020-06-01,4127
2020-06-02,8120
2020-06-03,7641
2020-06-04,6998
2020-06-05,7001
2020-06-06,7055
2020-06-07,7494
2020-06-08,7736
2020-06-09,7498
2020-06-10,6598
2020-06-11,6664
2020-06-12,4972
2020-06-13,7421
2020-06-14,7363
2020-06-15,7665
2020-06-16,7702
2020-06-17,6978
2020-06-18,5099
2020-06-19,6825
2020-06-20,6211
2020-06-21,5905
2020-06-22,5823
2020-06-23,7458
2020-06-24,6891
2020-06-25,6779
2020-06-26,7442
2020-06-27,7335
2020-06-28,6879
2020-06-29,5463
2020-06-30,5687
2020-07-01,5531
2020-07-02,6227
2020-07-03,6660
2020-07-04,7403
2020-07-05,6241
2020-07-06,6207
2020-07-07,4840
2020-07-08,4672
2020-07-09,6569
2020-07-10,6290
2020-07-11,7264
2020-07-12,7446
2020-07-13,7499
2020-07-14,6969
2020-07-15,6031
2020-07-16,6830
2020-07-17,6786
2020-07-18,5713
2020-07-19,6591
2020-07-20,5870
2020-07-21,4459
2020-07-22,7410
2020-07-23,6966
2020-07-24,7592
2020-07-25,8173
2020-07-26,6861
2020-07-27,6904
2020-07-28,6685
2020-07-29,6597
2020-07-30,7105
2020-07-31,7216
2020-08-01,7580
2020-08-02,7261
2020-08-03,7175
2020-08-04,6824
2020-08-05,5464
2020-08-06,7013
2020-08-07,7273
2020-08-08,7534
2020-08-09,7286
2020-08-10,5786
2020-08-11,6299
2020-08-12,6544
2020-08-13,6883
2020-08-14,6784
2020-08-15,7347
2020-08-16,7605
2020-08-17,7148
2020-08-18,7865
2020-08-19,4549
2020-08-20,6530
2020-08-21,7006
2020-08-22,7375
2020-08-23,7765
2020-08-24,7582
2020-08-25,6053
2020-08-26,5255
2020-08-27,6917
2020-08-28,7040
2020-08-29,7697
2020-08-30,7713
2020-08-31,7350
2020-09-01,6140
2020-09-02,5810
2020-09-03,6034
2020-09-04,6864
2020-09-05,7112
2020-09-06,6203
2020-09-07,7504
2020-09-08,5976
2020-09-09,8227
2020-09-10,7525
2020-09-11,7767
2020-09-12,7870
2020-09-13,7804
2020-09-14,8009
2020-09-15,8714
2020-09-16,7333
2020-09-17,6869
2020-09-18,4073
2020-09-19,7591
2020-09-20,7720
2020-09-21,8167
2020-09-22,8395
2020-09-23,7907
2020-09-24,7436
2020-09-25,7538
2020-09-26,7733
2020-09-27,7393
2020-09-28,7415
2020-09-29,8555
2020-09-30,6889
2020-10-01,6778
2020-10-02,4639
2020-10-03,7572
2020-10-04,7328
2020-10-05,8156
2020-10-06,7965
2020-10-07,3510
2020-10-08,5478
2020-10-09,6392
2020-10-10,7691
2020-10-11,7570
2020-10-12,7282
2020-10-13,7109
2020-10-14,6639
2020-10-15,5875
2020-10-16,7534
2020-10-17,7461
2020-10-18,7509
2020-10-19,5424
2020-10-20,8090
2020-10-21,6824
2020-10-22,7058
2020-10-23,7466
2020-10-24,7693
2020-10-25,7359
2020-10-26,7444
2020-10-27,7852
2020-10-28,4459
2020-10-29,22
2020-10-30,1096
2020-10-31,5566
2020-11-01,5986
2020-11-02,5847
2020-11-03,5138
2020-11-04,5107
2020-11-05,5259
2020-11-06,5686
2020-11-07,5035
2020-11-08,5315
2020-11-09,5992
2020-11-10,6536
2020-11-11,6852
2020-11-12,6269
2020-11-13,4094
2020-11-14,5495
2020-11-15,5445
2020-11-16,5698
2020-11-17,5629
2020-11-18,4669
2020-11-19,5499
2020-11-20,5634
2020-11-21,5146
2020-11-22,2425
2020-11-23,3910
2020-11-24,2277
2020-11-25,2424
2020-11-26,5087
2020-11-27,3959
2020-11-28,5260
2020-11-29,5323
2020-11-30,5668
2020-12-01,5191
2020-12-02,4649
2020-12-03,6234
2020-12-04,6606
2020-12-05,5729
2020-12-06,5375
2020-12-07,5008
2020-12-08,5582
2020-12-09,3228
2020-12-10,5170
2020-12-11,5501
2020-12-12,5319
2020-12-13,5532
2020-12-14,5611
2020-12-15,5047
2020-12-16,3786
2020-12-17,4585
2020-12-18,5557
2020-12-19,5267
2020-12-20,4128
2020-12-21,3623
2020-12-22,1749
2020-12-23,1787
2020-12-24,920
2020-12-25,1013
2020-12-26,441
2020-12-27,2114
2020-12-28,3095
2020-12-29,1341
2020-12-30,1796
2020-12-31,2729
